class	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
ALL_DLinked	9.39062059493923	8.7945213474588	5.73561814752581	8.05702339042964	2.43070485389158	3.05430941734812	2.134062856664	3.00227942364032	0.00487146822960346	0.0107313503028946	1.59010190497984
ALL_EtherLinked	2.86040143487937	2.92197589119155	2.49445254309658	2.57862455266014	2.1757815815268	2.2822147267494	2.13666142922798	2.25092708527504	0.0129714558181492	0.0212006589715986	0.295390685628597
ALL_LongChainFA	739.49462469206	572.848889966009	542.613522684655	754.814581480445	224.24162617981	291.592319745195	198.626823138813	347.300566482583	0.00190602630144011	0.0053651110707203	1.29746405081375
ALL_MUFA	58.1469279027291	44.6152505538207	48.871539652506	62.3309513588241	24.12561521344	28.9321733952471	22.2948186294659	32.1399669149521	0.00287607117220729	0.00728604696959179	0.993135595466485
ALL_MediumChainFA	0.562171108102466	0.432368356233444	0.394481156464014	0.577505250330784	0.608756550447006	0.603507158705989	0.597416810584643	0.587744441798675	0.100043448094763	0.120687334209556	-0.285836494012706
ALL_PUFA	240.771457383476	165.528579569979	166.561591308371	240.38825533324	79.7211382477267	98.5775771618384	73.3010340879504	120.17921748392	0.00811555818619646	0.0146852957654984	1.12925355721043
ALL_SFA	470.544098697404	387.332630400296	352.042534791455	483.617795766773	136.935645753733	181.874941168282	118.657026899216	212.609601732579	0.000878072616370956	0.00303334176564512	1.38135656228242
ALL_ShortChainFA	3.17278585302536e-05	4.16716458282266e-05	5.00889612621628e-05	4.07788852675193e-05	3.4402322672766e-05	2.85541354988481e-05	2.7292502787519e-05	3.97228736142546e-05	0.122729165903426	0.144611110211789	0.337846745345671
ALL_TLinked	0.359598211852618	0.325690542376543	0.381605789929442	0.486105173978808	0.0660225913182628	0.0950166795348239	0.05355564803536	0.0872483929049608	0.00180435634478799	0.00517475781901461	2.36318582832246
ALL_VeryLongChainFA	31.7173760413752	26.4046621873919	26.3835953776375	33.0300634150233	17.6578295665975	19.0315287444862	16.7880790703893	18.8740758504259	0.00509881920097374	0.0109157819513804	0.700003891229134
SM_DLinked	1.95205371397566	1.98928331108938	1.69951038602083	1.99207094920544	0.827114980686103	0.941189486624473	0.952776074873964	0.95785937861643	0.000171976256645191	0.00112730043689793	1.0529446442554
SM_LongChainFA	3.16019726249388	3.21519921194828	2.80546316796149	3.29186323801607	1.4096321731539	1.60456966875979	1.60035029171282	1.64440179152804	0.000120825009847499	0.00112730043689793	0.994782988575115
