m.z	class	FattyAcid	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
805.6805	SM	(t18:0/22:0)	0.0119826297790724	0.0127621352493146	0.0117977006298969	0.0127103743917173	0.000454108872186062	0.000489891898810618	0.000567103064932845	1.51174775226639e-05	0.000246529458361397	4.61149471310781
717.5917	SM	(d17:0/18:1)	0.0160034679510831	0.0158485208616288	0.031458189891657	0.0204268910320594	0.00995739271179497	0.00549765207301885	0.00768245542869185	0.0306708850235156	0.0406743121388777	1.44059593114562
707.5717	SM	(t18:0/15:0)	0.00102953438038533	0.00116142642342162	0.00309917543342371	0.00141963443521818	0.000576965421312498	0.000166250457151654	0.000222967130911379	0.0626804018368137	0.078532712766473	2.38085757147011
785.6569	SM	(d18:1/22:1)	0.0174559251260531	0.0178402837520841	0.0227294398156785	0.0174356803236096	0.0129342365532514	0.0223634806838601	0.0240228015393109	0.823779060046643	0.841347807772756	-0.0678312049708487
773.6562	SM	(d18:1/21:0)	0.00541381800114241	0.00591174081166957	0.00935072047774689	0.00606194372950357	0.00212404730439848	0.00227544171956188	0.00263198808112709	0.0155584222887776	0.0221309571170402	1.51196639636444
703.5769	SM	(d18:1/16:0)	0.546301576959806	0.584024315404649	0.589865253009761	0.60956089900462	0.287505622997681	0.299377906777717	0.322550535827805	1.44591062209511e-05	0.000246529458361397	0.942097966956162
819.6355	SM	(d19:0/24:6)	0.0129526480311415	0.0153717463297609	0.0160917854679585	0.0125847178829292	0.00228223668240834	0.00236156963612897	0.00224889674326616	0.000826905382391818	0.00252763276461612	2.63280537094926
837.6841	SM	(d20:0/24:4)	0.0521948537803898	0.0581996322082928	0.0540552207328366	0.0565818031216743	0.0115275907511295	0.00990580929451406	0.00973021913228628	6.36116060704357e-06	0.000195832872973984	2.41127985772082
854.5696	PC	(20:4/22:6)	0.0263537633383856	0.0266869042926742	0.0253743487034456	0.0251942079023738	0.0384581625425975	0.0386155106888005	0.0398847631944227	1.36878770370956e-05	0.000246529458361397	-0.589880978357251
690.5451	PC	(12:0e/18:1)	0.00645148231631478	0.00671919110061024	0.00632988746988937	0.00630925899517136	0.00196170493005586	0.00256906836314812	0.00208100998817233	0.000242608137176168	0.00127517203808449	1.54977123172146
